gis_x;gis_y;distrito;barrio;calle;num_finca;color;bateria_linea;num_plazas
439592,91;4473566,23;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;2;077214010 Verde;Línea;7
439569,07;4473598,77;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;8;077214010 Verde;Línea;5
439578,18;4473498,76;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;3;077214010 Verde;Línea;1
439574,49;4473493,4;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;5;077214010 Verde;Línea;1
439559,19;4473471,82;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;12;077214010 Verde;Línea;9
439536,49;4473428,32;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;17;077214010 Verde;Línea;4
439525,36;4473404,28;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;21;077214010 Verde;Línea;4
439587,76;4473916,82;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;1;077214010 Verde;Línea;3
439600,51;4473917,47;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;2;077214010 Verde;Línea;2
439097,77;4473640,65;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;1;077214010 Verde;Línea;4
439090,09;4473635,79;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;2;077214010 Verde;Línea;1
439128,74;4473643,71;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;5;077214010 Verde;Línea;6
439129,02;4473639,93;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;6;077214010 Verde;Línea;13
439154,57;4473646,35;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;7;077214010 Verde;Batería;7
439849,67;4473828,18;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;4;077214010 Verde;Línea;3
439773,76;4473804,41;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;12;077214010 Verde;Línea;4
439748,29;4474317,87;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;2;077214010 Verde;Línea;4
439710,65;4474308,34;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;5;077214010 Verde;Línea;3
439678,11;4474300,89;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;7;077214010 Verde;Línea;2
439666,95;4474298,01;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;9;077214010 Verde;Línea;2
439502,18;4473486,09;01  CENTRO;01-01 PALACIO;ANGEL, CALLE, DEL;19;077214010 Verde;Línea;4
439912,38;4474475,59;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;8;077214010 Verde;Línea;12
439927,2;4474539,09;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;14;077214010 Verde;Línea;2
439932,73;4474565,65;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;20;077214010 Verde;Línea;4
439758,07;4474465,17;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;4;077214010 Verde;Línea;7
439708,78;4474505,46;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;7;077214010 Verde;Línea;2
439702,57;4474512,08;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;9;077214010 Verde;Línea;1
439680,57;4474535,41;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;15;077214010 Verde;Línea;2
439674,45;4474541,75;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;17;077214010 Verde;Línea;1
439450,07;4473937,11;01  CENTRO;01-01 PALACIO;BAILEN, CALLE, DE;S/N;077214010 Verde;Línea;1
439352,66;4473875,26;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;1;077214010 Verde;Línea;1
439295,47;4473765,95;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;077214010 Verde;Línea;13
439258,65;4473849,93;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;077214010 Verde;Línea;35
439397,36;4473898,54;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;077214010 Verde;Línea;15
439722,11;4473414,61;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;3;077214010 Verde;Línea;3
439706,41;4473416,18;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;5;077214010 Verde;Línea;3
439672,16;4473419,87;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;11;077214010 Verde;Línea;13
439595,58;4473427,73;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;21;077214010 Verde;Línea;7
439570,91;4473438,1;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;24;077214010 Verde;Línea;9
439562,11;4473437,26;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;29;077214010 Verde;Línea;6
439515,95;4473460,06;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;30;077214010 Verde;Línea;10
439513,07;4473457,45;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;33;077214010 Verde;Línea;11
439472,83;4473512,59;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;36;077214010 Verde;Línea;10
439465,82;4473514,76;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;36;077214010 Verde;Línea;9
439481,74;4473483,01;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;37;077214010 Verde;Línea;3
439809,66;4474480,46;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;4;077214010 Verde;Línea;3
439831,83;4474522,02;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;8;077214010 Verde;Línea;6
439835,61;4474548,16;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;11;077214010 Verde;Línea;4
439833,18;4474566,92;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;15;077214010 Verde;Línea;3
