gis_x;gis_y;fecha_alta;fecha_baja;distrito;barrio;calle;num_finca;matricula
439608,1908;4473550,028;2014/05/28;;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;1;301110056
439757,571;4473794,518;2014/05/27;;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;14;301110042
439724,4731;4474317,372;2014/05/26;;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;6;301110014
439923,6811;4474528,889;2014/05/26;;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;11;301110012
439735,2317;4474489,959;2014/05/26;;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;8;301110010
439232,9842;4473818,072;2014/05/27;;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;301110032
439622,7569;4473423,031;2014/05/28;;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;17;301110064
439549,6164;4473438,836;2014/05/28;;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;29;301110063
439479,2652;4473481,502;2014/05/28;;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;37;301110046
439834,947;4474517,969;2014/05/26;;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;8;301110011
439885,3223;4473783,409;2014/05/27;;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;6;301110041
439775,1329;4473743,072;2014/05/27;;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;34;301110045
439778,7486;4473597,824;2014/05/28;;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;1;301110058
439834,8437;4473661,77;2014/05/27;2020/06/29;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;3;301110049
439819,5452;4473647,634;2014/05/27;;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;5;301110048
439351,2693;4473878,403;2014/05/27;;01  CENTRO;01-01 PALACIO;CIEGOS, CUESTA, DE LOS;S/N;301110031
438968,1585;4474047,693;2014/07/01;;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;301120021
439153,1012;4474042,238;2014/05/28;;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;301120022
439765,7321;4473972,824;2014/05/26;;01  CENTRO;01-01 PALACIO;CORDON, PLAZA, DEL;3;301110030
439308,7418;4473344,243;2014/05/28;;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;10;301110069
439715,6288;4474900,303;2014/05/26;;01  CENTRO;01-01 PALACIO;DOCTOR CARRACIDO, CALLE, DEL;2;301110002
439510,6701;4473694,622;2014/05/27;;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;12;301110044
439363,041;4473727,75;2014/05/27;;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;20;301110035
439693,318;4474587,814;2014/05/26;;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;2;301110009
439631,1247;4474662,907;2014/05/26;;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;10;301110007
439814,3891;4474304,952;2014/05/26;;01  CENTRO;01-01 PALACIO;ESCALINATA, CALLE, DE LA;11;301110013
439545,7941;4474176,543;2014/05/26;;01  CENTRO;01-01 PALACIO;FACTOR, CALLE, DEL;10;301110017
439718,1791;4474760,224;2014/05/26;;01  CENTRO;01-01 PALACIO;FOMENTO, CALLE, DE;16;301110004
439902,7156;4473831,295;2014/05/27;;01  CENTRO;01-01 PALACIO;GRAFAL, CALLE, DE;7;301110040
439545,6375;4473293,673;2014/05/28;;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;6;301110072
439524,4071;4473280,656;2014/05/28;;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;7;301110073
439485,6702;4473409,509;2014/05/28;;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;8;301110065
439435,9211;4473319,863;2014/05/28;;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;S/N;301110070
439513,7693;4473853,919;2014/05/27;;01  CENTRO;01-01 PALACIO;GRANADO, CALLE, DEL;2;301110039
